tags,texts
блогосфера Best Of Blogs конкурс,"Жюри всемирного конкурса интернет-дневников Best Of Blogs, организованного Deutsche Welle, определило 150 номинантов в 15 категориях. По итогам предварительного отбора номинантов российским интернет-проектам удалось войти в число фаворитов BOB. Помимо номинации «Лучший блог на русском языке», отечественные блоги попали в список претендентов на победу в двух других категориях — главный приз BOB «Лучший веблог» («Русь деревянная») и в категорию, которую ведет организация «Репортеры без границ» («Журнал Веры Васильевой»).

В 2006 году на конкурс было подано 5500 заявок — почти вдвое больше, чем год назад. В состав международного жюри конкурса входят журналисты, исследователи СМИ и, непосредственно, сами блоггеры. Любой желающий может повлиять на судьбу претендентов на награды, приняв участие в электронном голосовании на сайте проекта.

Отдать голос за полюбившийся интернет-дневник можно до 11 ноября 2006 года. На нынешнем Best Of Blogs представлены дневники на немецком, английском, французском, испанском, арабском, русском, португальском, испанском, персидском и нидерландском языках."
hhru краснодар,"Сегодня состоялась презентация Краснодарского HeadHunterа:
 — Самоокупаемость в 2007-м
 — займём 30% рынка
 — будет 5 тысяч посетителей
 — но пока всё бесплатно.
С трибуны веяло плохо скрываемым снобизмом. Столичного лоска почему-то не было.
Местным жителям очень понравилась толстая брошюра «ПУТЕВОДИТЕЛЬ ПО САЙТУ HH.RU». Ещё аборигенам дарили маленькие голубые портсигары и открытки с надписью ЕбитьДа.

Сейчас в Краснодаре действует 3 платных сайта с вакансиями: kubanjob.ru, hotjob.ru и job.yuga.ru. И несколько бесплатных, в том числе jobster.ru"
Apple Intel MacBook Pros Core  Duo,"Apple представила новые MacBook Pro. Всего 3 модели, процессор от Intel Core 2 Duo с тактовой частотой от 2.16 — 2.33GHz. 2 модели 15 дюймов, старшая 17. Встроенная камера, хард от 120 до 160 GB, видеокарта ATI Mobility Radeon X1600, FireWire 800 и много чего еще! Цена от 1999$ до 2799$ за старшую модель. В России, понятно, дороже будут.
Осталось обновить MacBook и выпускать новинки, следующий год ожидается быть хорошим на новости.
Кстати, цена за акцию уже превысила 80 долларов.
http://www.apple.com/macbookpro/"
работа,"Перед руководителем КМ Почты стоит задача развития сервиса и увеличения аудитории проекта.

С полным текстом вакансии можно ознакомиться на HH.RU: hh.ru/vacancy/465926

Марина Сокольская, директор по персоналу, раскрыла некоторые подробности:

Кандидат не обязан иметь опыта разработок (программирования). У КМ достаточно разработчиков для воплощения идей руководителя Почты.
Этот человек не будет озадачен получением дохода от рекламы. Хотя инициатива приветствуется.
Кандидата ждёт тестовое (домашнее) задание. Например, написать маркетинговый план.
Оклад обсуждается индивидуально, но не менее $1200. 
Насколько стало понятно из беседы, рост зарплаты ограничен только возможностями выполнять взятые на себя обязательства.

Сейчас КМ Почту в будний день посещает около 12 тысяч человек. HTTP заголовки бодро рапортуют об использовании Microsoft-IIS и ASP.NET."
Суп kotoeb Илья Барабанов Интерфакс Казахстан кириллица лати,"Борьбу с Антоном Носиком, Мамутом и «СУПом», кажется, решил поддержать братский Казахстан.

Интерфакс:

«Президент Казахстана Нурсултан Назарбаев предлагает специалистам вновь вернуться к обсуждению вопроса о возможности перевода казахского алфавита на латиницу.»

Котоёб жжот."
суп блогосфера livejournal вопросы и ответы Six Apart рек,"На этот и многие другие популярные вопросы ответили представители компании «Суп». 

Мы считаем, что действующий запрет для пользователей LiveJournal зарабатывать деньги размещением рекламы в своих блогах приводит к тому, что интересным и коммерчески перспективным проектам приходится мигрировать на внешний хостинг за пределы ЖЖ. Пока таких случаев не очень много, но, по нашей оценке, с ростом популярности блогосферы число кандидатов на уход в «одиночное плавание» среди востребованных блогов может расти достаточно быстро. Мы собираемся с согласия компании Six Apart устранить этот запрет и помочь всем желающим русскоязычным пользователям получать от ведения своих дневников не только удовольствие и славу, но и коммерческую выгоду. Мы обязательно будем рассказывать о наших планах и работе в этом направлении. Понятно, что не у всех дневников коммерческий потенциал одинаково высок, и не все владельцы дневников в LiveJournal захотят размещать на своих страницах рекламу. Общий принцип прост: каждый этот вопрос будет решать для себя сам."
Хабрахабр работа вакансия резюме карьера рекрутинг,"В верхнем меню появилась звездочка — ссылка на бету нового сервиса с рабочим названием «О, работа». Теперь за несколько кликов можно найти подходящую работу или подходящего кандидата на вакансию прямо на сайте. Мы постарались сделать сервис максимально сквозным, все резюме и вакансии привязаны к пользователям. Никто не должен потеряться.

Опубликовать резюме можно в «Настройках», там появилась ссылка на новый раздел; это можно также сделать в рекрутинговом разделе, см. ссылку «добавить».
Опубликованное резюме будет видно пользователям из 1-го круга. Если пользователь укажет, что ищет работу (отметит галочку в настройках), резюме будет опубликовано в базе и будет доступно всем пользователям. Неактивная галочка «удаляет» резюме из базы, но оставляет в профиле (опять же, резюме будет видно только 1-му кругу).

До запуска биллинга (ориентировочно – в середине ноября) сервис будет в стадии беты, поэтому сейчас публикация вакансий открыта всем, рекрутинговые службы интернет-компаний могут смело накачивать Хабр предложениями о работе. Мы будем очень рады. И счастливы тоже :)

Как всегда, в комментариях к анонсу приветствуются баг-репорты, сообщения об ошибках и вопросы о работе сервиса."
спасибо,"здесь раньше был неправильный пост.
сейчас здесь ничего."
хабратопики рейтинг оценка,"Предлагаю немного усложнить формирование оценки хабратопиков.



По аналогии с рейтингованием хабраюзеров вес балла для хабратопика должен определяться репутацией выставляющего оценку пользователя, а не быть равным единице."
вебальта,"В поисковой выдаче Вебльты появилась возможность управлять релевантностью, «прикреплять» найденные сайты, добавлять их в избранное, открывать несколько вкладок с результатами поиска.


P.S. А почему про Вебальту только я пишу посты? :)"
Бегун Контекстная реклама AdMe Басов Чистов Школа контекстно,"На сайте бегуна появилась такая новость:

Компания «Бегун» совместно с журналами «Новый Маркетинг», «Рекламодатель: теория и практика» и интернет-изданием о рекламе AdMe предлагает всем желающим стать специалистами по контекстной рекламе. 
В течение нескольких месяцев ведущие специалисты «Бегуна» будут рассказывать о возможностях и инструментарии контекстной рекламы, о том как проводить рекламную кампанию и правильно составлять объявления, оценивать эффективность и стоимость привлеченных клиентов. Для того, чтобы применить знания на практике читатели журналов «Рекламодатель: теория и практика» и «Новый маркетинг» смогут воспользоваться подарочным купоном. Они начнут рекламную кампанию с $10 на счету.

Урок 1: Эволюция контекстной рекламы. От баннера до телефонного звонка.

Статья, кстати, полезная для неофитов

Хм… По 10 уёв на счет… Интересно, какой там тираж, сколько раз по 10 уёв выходит :)"
фейк,"

В оригинале, конечно, было Храбр, но удержаться не смог :)"
Microsoft IE Firefox торт,"

Тортик от команды разработчиков IE, посланный файрфоксовцам в честь Лиса 2.0."
Google YouTube видео исследование,"Перед покупкой YouTube проводились серьёзные исследования, дабы выяснить реальную стоимость сервиса.

Французские учёные также работали над этой проблемой. Недавно был опубликован секретный видео-материал, в котором показан ход этнографического исследования.

Смотреть"
wordpress wordpress mu блогосфера социальные сети,"Несколько дней назад вышел WordPress MU 1.0!

Цель проекта правильная — хорошая платформа для блог-хостинга. Хотелось бы обменяться опытом по установке.

Удалось ли вам победить проблему с частично неправильным отображением кириллицы в различных полях (название блога, имя, фамилия и т.п.)?"
хабрахабр ошибка второй круг,Как так получилось что я сам нахожусь у себя во «втором круге» www.habrahabr.ru/people/Nicolay? )))
хабрахабр вебпланета посещаемость праздник водка похмелье де,"Если верить Алехе.
www.alexa.com/data/details/traffic_details?compare_sites=habrahabr.ru&range;=6m&size;=medium&y;=r&url;=webplanet.ru"
НЛО классификация параметры сайта,"Представьте, что по какой-то причине (например, прилетело НЛО Хабра ;)) тысячи пользователей бросились описывать ВСЕ вебсайты интернета по заданным параметрам. Например, с целью их классификации, каталогизации или еще зачем-то.

Как вам кажется, какие параметры сайтов могли бы представлять интерес для последующего практического использования?

Буду благодарен за мнения в коментариях."
вакансии,bigpapa.ru/job?job_id=221
Yakutsky,"Коллегос! Настал момент поговорить о том, что происходит в разделе «компании». На мой взгляд, логично, если человек работает в одной компании. Максимум — фрилансит на другую. (Тогда у него будут проблемы с руководством первой, но это его личные проблемы).

А теперь посмотрите профайлы топ-10 компаний.
Представляю вам звезду, мистер-трудолюбие, двадцатирукий Шива Хабры, встречайте: маэстро Якутский!

Денис, если так и задумывалось, то я хочу купить этот ник :)"
малый бизнес автоматизация история свободное ПО,"Долгое время малый бизнес незаслуженно находился вне поля зрения IT-компаний. Существует множество объяснений этому факту, но самое очевидное это то, что малый бизнес не такой «вкусный» с точки зрения прибыли и затрат на внедрение.

Первым и до сих пор основным сектором продаж является корпоративный рынок. Большие бюджеты, практически постоянные объемы потребления и длительные сроки внедрения. Добавить к этому техническую поддержку, то ситуация для IT-компании исполнителя складывается радужной. У крупных проектов на корпоративном рынке есть еще одна милая особенность — сравнительно низкие риски при провале проекта. Если кто в теме, вспомните, наблюдали ли вы крупные скандалы, связанные с провалом проекта? Как правило, все тихо забывается под предлогом выхода новой технологии или еще чего-то. Это совсем не значит, что количество успешных IT-проектов в корпоративном секторе мало. Просто там это не так чувствительно — все равно бюджет надо было осваивать.

Далее внимание IT-компаний привлекли домашние пользователи. Это сладкое слово multimedia! Home user'ы дали хороший толчок игровым технологиям, технологиям массового доступа в Интернет и производителям аудио и видео «железа». Собственно все. Выиграли только производители железа, игровых приложений и операционных систем. Ну, может еще антивирусов.

Малый бизнес все это время оставался незаслуженно забыт. Считалось, что там могут внедряться приложения, ориентированные на корпоративный рынок. Не важно, что стоимость этих решений может равняться годовому обороту небольшой фирмы. Из-за этого уровень пиратства в этом секторе рынка стремился к 100%. Пожалуй, единственными IT-компаниями, успешно работавшими в данном секторе, были производители бухгалтерского ПО. Не последнюю роль в этом сыграли наши замечательные налоговые органы, которые с завидной регулярностью меняют формы отчетности. ;-) А по некоторым слухам, открыто требовали, чтобы отчетные документы были подготовлены в такой-то или такой-то программах. В результате получили интересный эффект: люди, которые не могут потратить ни одной лишней копейки на что-либо помимо их основной деятельности, стали покупать ПО и сопровождение.

Кроме этого, похоже насытились рынки корпоративных и домашних пользователей. Производителям ПО и железа нужен был новый рынок, но он к этому времени уже не пустовал. Что делает человек, которому нужна в конторе небольшая сеть с файл-сервером и принтером за минимальные деньги? Правильно, он нанимает ребят, которые ставят ему либо пиратские версии, либо свободно распространяемый софт. А последнее для производителей ПО страшнее, чем пиратская копия. Сервисная модель бизнеса никогда не принесет им такие прибыли. В результате развития этих тенденций в последнее время многие производители ПО выпустили специализированные продукты и схемы лицензирования, направленные на сектор малого и среднего бизнеса. Более того, они обнаружили, что если малому бизнесу предложить продукт, который реально ему помогает, то его покупают.

Об этих продуктах и роли Интернет-технологий в малом бизнесе чуть позже.

P.S. Не слишком длинно и нудно?"
Хабрахабр TODO идея рейтинг оценка удобство демократия,"Предлагаю сделать TODO (идеи для сайта) с возможностью хабраюзерам выставлять приоритеты на на тот или иной пункт. 

Как себе это представляю: список, с возможностью повысить/понизить рейтинг для пункта; пункты с большим рейтингом поднимаются вверх. 
Можно увеличивать силу голоса кармой юзера.

Для меня, к примеру, подсветка свежих комментов — много важнее того, что я нахожусь в своем втором круге. Чесслово — могу и так жить, а вот искать среди 60-ти комментов — какой из них последний — куча времени.

Естественно, показатель рейтинга не руководство к действию, а лишь отражение мнения хабрасообщества; в конечном итоге, приоритеты выставляет Отче.

Таким образом, всегда видно — что важно для пользователя."
iPod образование работа,"Вышла очень интересная статья в  Wall Street Journal о том, как сегодня владельцы различных компаний используют iPod в своей работе.
Например, работодатель Mr. Rathel's накупил видео-iPod и теперь экономит на обучении испанскому своих сотрудников. 
А вот прошлым лето National Semiconductor Corp потратила 2,5 миллиона долларов для покупки таких же iPod для своих сотрудников, теперь так же занимается обучением их и рассылает различные announcements. iPod крепко вошел в образование и многие этим активно пользуются, устраивая семинары виртуальные по продажам, по общению с клиентами и тому подобное.
Плюсы этого устройства в том, что используют его в свободное время, на тренировке в спортивном зале, в машине, по дороге на работу, многие готовятся таким образом к деловым встречам, в то время, которое вроде еще не рабочее, но настроится уже пора.
ЗЫ Некоторые музеи устраивают виртуальные экскурсии своих новых экспозиий. Мне выставка Ван Гога была оч. интересна, хотя она, вроде, в Шотландии была)"
туризм веб ,"В курсе ли кто-нибудь, есть ли сервис, где я могу отмечать свой маршрут на карте мира, смотреть маршруты других путешественников-пользователей сервиса (с указанием того, где именоо они сейчас находятся), договариваться с ними о встречах в тех или иных городах, на той или иной улице, в том или ином кафе?

Думаю, наверняка что-то есть подобное на основе Google maps. Хочется с новыми людьми знакомится."
СУП бизнес-схема ЖЖ,"Для Рунета самым громким событием последних дней явилась, пожалуй, истерика о «плохом» ПиаРе новой медиа-компании СУП, которая 18 октября 2006 г. объявила о приобретении лицензии на обслуживание кириллических пользователей Живого Журнала. Именно так: не о самой СУП, а вокруг нее. Кто-то не так сказал, что-то не договорил, кто-то не понял или, наоборот, понял между строк и пошло-поехало, но оставим это, желающие легко найдут все ссылки сами. Единственно, что хочется отметить, как ловко PR-служба нашла понятия для ответной словесной игры в свою пользу: «скандал» теперь интерпретируется как «свобода слова» :) 

Поскольку я далек от всех действующих лиц, то ничего и не буду говорить о данной ситуации, вместо этого могу поделиться одним своим наблюдением. Этим летом, 30-31 мая, в Питере проходила «Санкт-Петербургская Конференция ""Интернет и Реклама""», на которой мне удалось побывать. Там Антон Носик (ныне руководитель службы блогов упомянутой СУП) на вопрос о бизнес-схеме в рамках Веб 2.0, сказал, кто будет иметь самые большие деньги. Это будет тот, кто сможет распределять рекламу от множества рекламодателей на множество мелких проектов (в терминологии Веб 2.0 – задействует «длинный хвост»).

Помню, я тогда у себя в блокнотике нарисовал «Х» (икс). Это ведь схема монополии на рынке, логично же? Это как государственная граница с одним единственным пропускным пунктом. Единичный блогер-тысячник, конечно, что-то может заработать на рекламе (не говорю сейчас ни о каких трудностях этого), но разве эти деньги можно сравнить с теми, которые через себя пропустит тот, кто для всех рекламодателей предоставит всех блогеров. Мысль ведь ясна? :)

Эта схема озвучена в конце мая, а уже в августе был основан СУП, а уже в октябре – у них лицензия на обслуживание 698 000 пользователей ЖЖ. По-моему, гениальный ход.

Вот так, если смотреть на факты. А кричит сейчас больше всех, может быть, как обычно это бывает, тот, кто сам этого же хотел, но не успел?"
Балагур Багатур интернет народов мира шутка joke стёб Северн,"Любезный Балагур Багатур и его дядя Дангаасїрэнгийн согласились проводить меня в международный аэропорт Улаанбаатара, где специальным рейсом № 333 авиакомпании «British Airways» мне посчастливилось отправиться в столицу Северной Кореи, чтобы взять сенсационное интервью о Северокорейском интернете у самого продвинутого интернет-пользователя этой страны. По секретным данным, имеющимся только у нас, информация о данном объекте сильно засекречена, так уж получилось, что ХабраХабр станет первым электронным изданием в мире, где будет опубликована информация о работе Северокорейской Сети.

Итак, самолет поднялся в воздух, за бортом -45 по Цельсию, погода отличная, как и широкополосный коннект с сетью в «1-ом» классе «British Airways», откуда я пишу эти строчки, через 1ч 20 м самолет приземлится в международном аэропорте Sunan International Airport
(평양순안국제공항). Рядом маячит симпатичная стюардесса в соблазнительной маячке с логотипом этой могучей авиакомпании…

Всем пока! :)

Читайте в следующих публикациях:
Очкастый Ким: «Ни один вражеский килобайт не пройдет на нашу территорию» (Северная Корея).
Доктор Роберт: «Чёрные сайты гораздо лучше белых». (Зимбабве)

P.S. Если Вам интересны дальнейшие публикации «Barbosa» на ХабраХабре, голосуйте за мои статьи, подписывайтесь, оценивайте комментарии. Интернет народов мира продолжает свою работу.

Специальный корреспондент Хабрахабра
Педру Паоло Соуза Барбоза да Сильва
с высоты 11,000 метров где-то над Восточной Манчжурией по пути в Пхеньян."
Google Gdrive доменные имена,"Кстати, gdrive.us добавился в коллекцию доменов, принадлежащих Google. Они уже владеют gdrive.com/net/org и так далее. Интересно, сколько осталось ждать до момента запуска этого сервиса… :)"
доменные имена LiveJournal Суп Эндрю Полсон mastername,"Для кого-то это не новость, но я только сейчас внимание обратил :)

Информация о домене LIVEJOURNAL.RU (по данным WHOIS.RIPN.NET):

% By submitting a query to RIPN's Whois Service
% you agree to abide by the following terms of use:
% www.ripn.net/about/servpol.html#3.2 (in Russian)
% www.ripn.net/about/en/servpol.html#3.2 (in English).

domain: LIVEJOURNAL.RU
type: CORPORATE
nserver: ns1.mastername.ru.
nserver: ns2.mastername.ru.
state: REGISTERED, DELEGATED
person: Andrew Paulson
phone: +7 495 2580906
fax-no: +1 508 6325887
e-mail: ap06@mac.com
registrar: REGISTRATOR-REG-RIPN
created: 2001.05.11
paid-till: 2007.05.12
source: TC-RIPN"
реклама Bill Gates Microsoft Ubuntu Linux фэйк Билл Гейтс,
Firefox плагины Human URL кодировка Википедия,"Очень полезный плагин для тех, кто работает с Википедией или другими сайтами, использующими в УРЛах non-latin characters.

Human URL
forum.mozilla-russia.org/viewtopic.php?id=6346

Очень маленькое расширение, основной функцией которого является приведение в нормальный вид адреса имеющие в имени или пути символы кирилицы. После установки вы забудете о том, что не возможно узнать расположение файла на диске, адреса или ссылки из-за нечитаемого текста в панели адреса.

Совместим с Firefox 2"
хабратопик популярность блог сортировка,"Предлагаю добавить возможность упорядочивать хабратопики по популярности.
Иногда хочется посмотреть не самые свежие, а самые интересные топики блогов."
icq взломали,"Думаю это для многих не новость, но предупредить хочется.
На днях у меня |взломали| ICQ. На первый взгляд ничего страшного, но когда я все таки сменил пароль и зашел опять в свою аську, выяснилось что многие мои контакты спрашивают меня — Когда деньги то отдашь?
Я говорю ты о чем? А они мне — так ты же просил взаймы?
Дальше думаю объяснять не стоит.
Выводы: я сменил свой старый ICQ на новый номер, сделал пароль из 10 символов, и теперь не собираюь светить свой номер аськи, как делал это раньше. Все это так неприятно. Вообщем, будьте внимательны!"
Vox Веб  блоги LiveJournal Суп Six Apart,"Второй день мучаю Вокс. Пока нравится. Решил пописать там на своем ломаном английском, но в целом все и так понятно. В смысле идея понятна. 

Эта штука дико удобна медиаблоггерам. И хоть к ним я себя пока не отношу (ну то есть я не фотографирую все подряд, не снимаю все на видео и так далее), уже очевидно, куда движется мир. Точнее, было очевидно еще год назад.

И когда моя 6230 сломается или потеряется (других поводов сменить ее на Эн-93 я пока не вижу), в Воксе меня будет больше, чем в ЖЖ. Наверно. Мыльницы* у меня по понятным причинам нет, зеркалку* постоянно с собой не ношу (да и видео она, слава яйцам, снимать не умеет) а мобильник с приемлемым для веба качеством фотографий и видео — отличный вариант. Вобщем, Эн-93, Вокс, вебдваноль, дружба, жвачка. 

Ну и понятно, что там не хватает пары фишек именно с позиции _подхода_ к контенту (которые, я надеюсь, раньше успеем сделать мы :-)

И чего не хватает мне по мелочам:

 — древовидных комментов
 — групп френдов
 — очевидной возможности посмотреть, кто тебя читает (неочевидная — есть)
 — выпадающих тегов
 — импорта из ЖЖ (хотя, может, просто не нашел)
 — + аплоадер на основе виндового веб-паблишера для меня не очень удобен (нормальный толстый клиент или ФТП как-то вот получше будет)

Так что регистрируйтесь, пробуйте. Кстати, для меня это никак не связано с историей вокруг компании «Суп». Мне пофиг, я новые сервисы люблю.

* Я сознательно не упортебляю неологизмов «цифромыльница» и «цифрозеркалка». Мы уже достаточно давно живем в мире, где фотоаппарат по умолчанию с матрицей (с пленкой — если сказано особо)."
bugs habr link,"Я вот перенес свой топик из «Веб 2.0» в «Блогосферу» (так правильней). И по прежней ссылке, естественно, он 404 (так неправильно).

Ну то есть логично смотреть по id, который сквозной, и открывать топик независимо от того, какой раздел перед ним. Так, сделано, например, на Мембране."
Хабрахабр хабратопик снег,"За эти выходные мы изменили дизайн и юзабилити в блогах, надеемся, стало более понятно. Еще поправили баги и глюки (но не все), перевели часы на зимнее время, а в честь первого снега, выпавшего в Москве сегодня вечером, добавили возможность транслировать на первой странице сайта хабратопики, набравшие 7 и более баллов. В этой связи призываем чаще пользоваться тэгом <habracut>, он сокращает длинные записи, скрывая их целиком или частично под ссылкой «читать дальше»."
Хабрахабр Леха Андреев Вебпланета,"Нашел в Яндекс.Ленте комментарий на Вебпланете. (Еще см. ответ на комментарий, его тоже написал Леха, иногда он разговаривает сам с собой, для поддержания дискуссии.) 

Ага, зато его пригласил к себе Яндекс.
И теперь в блого-поиске Яндекса в рейтинге «СМИ» стоит блоговый дорвей Хабрахабр, который вот-вот обгонит все известные российские СМИ :)
blog.yandex.ru/rating/smi
Интересно, если бы kukutz тусовался не на Хабре, а на Дамочке.Ру — она тоже считалась бы «СМИ»? Дамочка могла бы обогнать Ленту.Ру моментально! Носик бы рыдал!

Скажите, пожалуйста. Это зависть? Или Леха в самом деле безнадежно болен? Еще интересно, что думает о поведении главреда Александр Бурмистров, владелец Вебпланеты."
Хабрахабр хабрапосиделки общение,"Идея с хабрапосиделками раз в месяц где-нибудь в Москве живет и дышит! Чтобы всё получилось, нужно знать, сколько человек потенциально готовы посетить первые хабрапосиделки? На карандаше — три заведения. Чтобы договориться о скидках в меню и прочих радостях, нужно знать, сколько человек готовы посетить мероприятие."
биометрия идентификация паспорт,"А что кто думает по поводу скорого введния биометрических загранпаспортов в России?

Известно, кстати, что поначалу пальчики и прочее туда писаться не будут, только фото, да и то двухмерное. Ну то есть биометрии в чистом виде мы пока не увидим."
habr bugs link ,Ссылка «Новые» ( www.habrahabr.ru/union/new ) на главной ведет прямиком в 404.
habr link bugs,"Да, и тут же следом. При постинге ссылки в скобках типа (http://www.habrahabr.ru/) крайняя скобка подсвечивается. Это видно сейчас из примера.

UPD: Fixed."
общение сообщения уведомления хабрахабр идеи треды трединг п,"Предлагаю дополнить работу с сообщениями на Хабре следующим образом:

Создать в сообщениях подпапку для системных уведомлений, в которую автоматически закидывать уведомления Хабра вроде «Пользователь хочет присоединиться к 1-му кругу ваших друзей» или «Пользователь приглашает вас в блог» — это позволит гораздо более эффективно пользоваться сообщениями для общения в рамках Хабра, чему сейчас мешает обилие уведомлений.
Реализовать трединг для сообщений вроде «Re: Пользователь хочет присоединиться к 1-му кругу ваших друзей».
"
comments комментарии избранное,"Можно ли сделать функцию, (раздел) в котором бы можно было наблюдать неотвеченные комментарии, ибо после прочтения через почту, если ты не в ней, а в Хабре, иметь возможность посмотреть что же ты не ответил. Эта функция так же актуально если человек не подписан на отсылку комментарий в почту. 

Избранное с комментариями, я так понял, комментарии так же попадают в избранное, но наверное в дальнейшем имеет смысл их разделять, так как они все-таки накапливаются и работать с ними будет сложнее. Конечно в будущем хотелось бы иметь возможность управлять этими комментариями а-ля del.icio.us — ставить теги и собирать комментарии по излюбденным вопросам и темам, но не знаю как на это смотрят пользователи.
Просто в разных комментах проскакивают мысли и идеи которые возможно можно было бы каким-то образом группировать."
